arch,cmd,n_onbody_samples,QS_mean_kg,QS_p99_kg,QS_max_kg,P_QS>10,P_QS>50,P_QS>100
direct,static,24911,3.910365343093872,6.885994243621827,11.634110450744629,0.0008430010838585363,0.0,0.0
direct,walk,25185,4.328639984130859,8.04626739501953,95.24163818359375,0.003216200119118523,0.00023823704586063132,0.0
histonly,static,24594,4.444701194763184,8.461139135360716,274.04779052734375,0.0054078230462714484,0.0008538667967797023,0.00044726356021793936
histonly,walk,24689,3.9695639610290527,10.034814796447714,447.77899169921875,0.01012596702985135,0.000607558021791081,0.00040503868119405405
main_lb3,static,24582,4.2726054191589355,6.722740564346313,10.696319580078125,0.000366121552355382,0.0,0.0
main_lb3,walk,24595,3.9686696529388428,6.72529410362244,9.427972793579102,0.0,0.0,0.0
main_lb6,static,24595,7.107352256774902,11.684256706237797,17.086084365844727,0.06314291522667209,0.0,0.0
main_lb6,walk,24864,5.915989875793457,10.423944005966186,18.897579193115234,0.014358108108108109,0.0,0.0
