arch,cmd,frac_|cos|<0.3,frac_|cos|<0.1,cos_L_mean,hip_L_max_deg,on_body_frac
direct,static,0.0,0.0,0.9493269290675049,27.50817536332886,0.5925
direct,walk,0.0,0.0,0.9497823735878917,29.038211161945295,0.6085
histonly,static,0.0,0.0,0.9556601078848576,21.341542486277433,0.5795
histonly,walk,0.0,0.0,0.9592617951054113,21.182185635204576,0.5815
main_lb3,static,0.0,0.0,0.9577614039532304,21.390663499240873,0.5785
main_lb3,walk,0.0,0.0,0.9593717810778625,21.686796595990533,0.579
main_lb6,static,0.0,0.0,0.935059447419173,25.166911166800844,0.5795
main_lb6,walk,0.0,0.0,0.9316770885463617,25.34131321706795,0.6
