t,mass_est,comx,comy,comz,pitch,roll,gyro0,gyro1,gyro2,grav0,grav1,grav2,cmd0,cmd1,cmd2,q0,q1,q2,q3,q4,q5,q6,q7,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,act0,act1,act2,act3,act4,act5,act6,act7
0.00015,0.26809,-0.00112,0.00077,0.00167,0.14264,-0.08046,-0.01786,1.35265,0.15335,0.15959,0.03271,-0.98664,0.00000,0.00000,0.00000,0.17976,-0.60344,-0.04466,0.00780,0.00677,0.61834,0.07163,0.00790,-0.02000,-1.89000,-0.66000,-0.01000,-0.01000,1.78000,0.80000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.01955,0.05631,-0.00060,0.00098,-0.00026,0.14422,-0.07906,0.83515,-0.84206,0.09556,0.16070,0.03065,-0.98653,0.00000,0.00000,0.00000,0.14306,-0.57334,-0.02356,-0.01290,0.02517,0.58234,0.04133,0.00220,-2.29000,2.45000,2.87000,-1.97000,0.87000,-2.83000,-3.11000,-0.50000,-3.32915,-0.72246,2.31017,-11.28305,2.59581,-0.00768,-2.12761,-5.15918
0.03963,0.03904,-0.00050,0.00097,-0.00027,0.09685,-0.05532,0.46390,-2.91639,0.39463,0.10904,0.02213,-0.99379,0.00000,0.00000,0.00000,0.11256,-0.47524,0.03404,-0.08990,0.02457,0.48084,-0.01467,-0.03160,-1.01000,4.84000,2.62000,-4.98000,-0.69000,-4.95000,-2.61000,-2.38000,-1.48543,0.04990,1.00466,-17.45947,1.47982,0.00338,-0.76794,-8.99938
0.05944,-0.01251,-0.00049,0.00069,-0.00040,0.03123,-0.02803,0.23620,-3.69776,0.13417,0.03844,0.01678,-0.99912,0.00000,0.00000,0.00000,0.05936,-0.35114,0.10514,-0.23420,0.03607,0.37254,-0.07437,-0.10600,-4.23000,7.21000,3.23000,-7.73000,1.50000,-5.92000,-2.54000,-4.22000,-1.63737,0.33614,1.26506,-22.08191,1.01272,0.32948,-0.76283,-12.71497
0.07953,-0.01796,-0.00018,0.00073,-0.00004,-0.02532,0.00043,0.29186,-3.50415,0.15415,-0.02414,0.00764,-0.99968,0.00000,0.00000,0.00000,0.01766,-0.24114,0.13824,-0.41520,0.04747,0.25514,-0.10887,-0.18000,-1.46000,4.97000,1.61000,-10.15000,-0.58000,-5.95000,-1.75000,-3.54000,-0.77395,0.13986,0.33033,-27.91912,0.12335,-0.06647,-0.35413,-18.52600
0.09947,-0.02518,-0.00034,0.00062,-0.00003,-0.08713,0.02413,-0.05302,-2.65088,0.09103,-0.09015,0.00476,-0.99592,0.00000,0.00000,0.00000,-0.02524,-0.14134,0.16464,-0.61880,0.03497,0.15684,-0.15417,-0.24790,-2.26000,3.97000,1.17000,-8.65000,-0.51000,-3.85000,-1.84000,-3.63000,-0.71235,0.19162,-0.03933,-34.16101,0.04590,0.01842,-0.19016,-24.54279
0.11922,-0.03534,-0.00030,0.00072,0.00003,-0.11517,0.03980,0.50252,-1.31237,0.09636,-0.12152,-0.00070,-0.99259,0.00000,0.00000,0.00000,-0.02584,-0.05364,0.18554,-0.77800,0.00787,0.08084,-0.17927,-0.34750,0.36000,3.62000,1.30000,-8.69000,-1.97000,-2.63000,-1.09000,-5.80000,-0.48334,0.39852,-0.46040,-39.94476,-0.52823,0.07057,-0.44277,-30.23270
0.13957,-0.01933,-0.00012,0.00036,0.00002,-0.12473,0.06173,0.98748,-0.43992,0.25881,-0.13759,-0.01713,-0.99034,0.00000,0.00000,0.00000,-0.02654,0.01066,0.20384,-0.98660,-0.01563,0.02574,-0.19857,-0.50520,-0.20000,2.06000,0.81000,-11.18000,-0.41000,-3.04000,-1.02000,-8.58000,-0.21031,0.45236,0.17172,-41.86091,-0.24868,-0.23152,-0.90448,-32.62764
0.15974,-0.01223,-0.00008,0.00057,0.00018,-0.12000,0.07331,0.34113,0.26289,0.25801,-0.13709,-0.02873,-0.99014,0.00000,0.00000,0.00000,-0.04694,0.06656,0.21904,-1.24740,-0.02583,-0.02006,-0.21747,-0.70030,-0.72000,2.98000,0.77000,-13.14000,-0.70000,-1.92000,-1.05000,-9.75000,0.20199,0.59338,0.96463,-39.71673,0.05888,-0.40707,-1.13688,-31.74883
0.17969,-0.03150,-0.00037,0.00017,0.00023,-0.10761,0.07202,-0.12279,0.80857,0.32858,-0.12526,-0.03105,-0.99164,0.00000,0.00000,0.00000,-0.04754,0.11686,0.24244,-1.50920,-0.03043,-0.06326,-0.23787,-0.89750,-0.09000,2.51000,1.47000,-12.64000,0.06000,-2.22000,-1.12000,-9.75000,0.35454,0.72925,1.42712,-33.47950,-0.07823,-0.78367,-1.28022,-26.80543
0.19948,0.03056,-0.00061,0.00025,0.00070,-0.09257,0.06156,-0.42266,1.07862,0.22552,-0.10781,-0.02598,-0.99383,0.00000,0.00000,0.00000,-0.04074,0.17186,0.27504,-1.75710,-0.02643,-0.09716,-0.25507,-1.08730,0.34000,2.16000,1.68000,-12.30000,0.14000,-1.51000,-0.75000,-9.46000,0.41590,1.15393,1.58407,-25.84860,0.06461,-0.95186,-1.04783,-20.65341
0.21952,0.01593,-0.00074,0.00013,0.00039,-0.07545,0.04371,-0.48285,0.91004,0.26493,-0.08583,-0.01460,-0.99620,0.00000,0.00000,0.00000,-0.02994,0.22216,0.30374,-1.98710,-0.02573,-0.13166,-0.27497,-1.27680,0.70000,3.10000,1.30000,-10.44000,-0.03000,-1.98000,-0.92000,-8.68000,0.29793,1.38720,1.33430,-16.78145,-0.13499,-1.21181,-1.04887,-13.90193
0.23947,-0.00115,-0.00058,0.00042,0.00031,-0.06469,0.02944,-0.59204,0.75957,0.40608,-0.07086,-0.00461,-0.99748,0.00000,0.00000,0.00000,-0.02174,0.27036,0.32694,-2.16420,-0.01713,-0.16806,-0.29637,-1.43130,0.12000,2.06000,0.87000,-7.83000,0.70000,-1.48000,-0.98000,-7.03000,0.00465,1.61769,1.03617,-6.96665,-0.01707,-1.30708,-0.90794,-7.41264
0.25950,0.00722,-0.00052,0.00038,0.00031,-0.05888,0.01312,-0.35129,0.32894,0.34510,-0.05960,0.00904,-0.99818,0.00000,0.00000,0.00000,-0.01624,0.31166,0.33584,-2.28450,-0.00823,-0.19396,-0.30927,-1.55140,0.60000,1.89000,0.11000,-5.01000,0.09000,-1.34000,-0.46000,-5.39000,0.05557,1.85254,0.82825,1.18640,-0.34447,-1.28325,-1.02423,-3.08546
0.27941,-0.02007,-0.00037,0.00047,0.00012,-0.05536,0.01156,0.06389,0.17287,0.35681,-0.05569,0.00962,-0.99840,0.00000,0.00000,0.00000,-0.00834,0.33566,0.33304,-2.34760,-0.01173,-0.22346,-0.31317,-1.63150,0.08000,0.77000,-0.12000,-1.64000,-0.32000,-1.39000,-0.02000,-2.98000,-0.00917,1.46377,0.96637,7.63167,-0.39013,-1.39162,-1.13095,-0.06609
0.29945,-0.02975,-0.00043,0.00050,0.00005,-0.05272,0.01046,-0.03970,0.21096,0.45136,-0.05276,0.01012,-0.99856,0.00000,0.00000,0.00000,-0.01284,0.34666,0.33504,-2.33760,-0.01293,-0.24326,-0.31187,-1.66290,-0.09000,0.48000,0.12000,1.35000,0.08000,-0.92000,0.14000,-1.07000,-0.10794,1.29356,1.38419,11.45837,-0.23854,-1.29105,-1.00208,1.90142
0.31944,-0.03262,-0.00050,0.00049,0.00010,-0.04761,0.00982,0.14725,0.14917,0.47879,-0.04770,0.00926,-0.99882,0.00000,0.00000,0.00000,-0.01284,0.35676,0.33494,-2.28120,-0.01453,-0.25496,-0.30877,-1.67600,0.01000,0.41000,0.03000,3.12000,-0.10000,-0.50000,0.06000,-0.60000,-0.15194,1.40085,1.49134,13.60003,-0.32978,-1.17922,-0.90295,3.25975
0.33954,-0.04655,-0.00045,0.00052,0.00008,-0.04791,0.01390,0.07508,-0.29371,0.54350,-0.04948,0.00612,-0.99876,0.00000,0.00000,0.00000,-0.01714,0.36116,0.33704,-2.21320,-0.01563,-0.26306,-0.30777,-1.68890,-0.43000,0.11000,0.17000,3.92000,-0.14000,-0.40000,0.08000,-0.64000,-0.20864,1.39705,1.54666,15.31777,-0.22186,-1.29878,-0.62687,4.80403
0.35920,-0.05639,-0.00038,0.00060,0.00011,-0.05524,0.01688,0.00797,-0.48306,0.50249,-0.05732,0.00687,-0.99833,0.00000,0.00000,0.00000,-0.02624,0.36536,0.33834,-2.11520,-0.02123,-0.27136,-0.30057,-1.68150,-0.16000,0.16000,0.00000,4.88000,-0.37000,-0.21000,0.37000,0.45000,-0.28340,1.43156,1.43759,16.10306,-0.23464,-1.22795,-0.49778,5.60452
0.37953,-0.06255,-0.00029,0.00068,0.00015,-0.06240,0.02087,0.03300,-0.38506,0.52166,-0.06540,0.00671,-0.99784,0.00000,0.00000,0.00000,-0.02654,0.36476,0.33564,-2.00980,-0.02883,-0.27136,-0.29557,-1.66150,-0.13000,-0.11000,-0.12000,5.37000,-0.32000,0.00000,0.11000,1.31000,-0.35371,1.35133,1.19119,15.99939,-0.19024,-1.21505,-0.63001,5.61446
0.39945,-0.05352,-0.00018,0.00068,0.00019,-0.06748,0.02351,-0.06740,-0.22900,0.36986,-0.07103,0.00711,-0.99745,0.00000,0.00000,0.00000,-0.02884,0.35526,0.33664,-1.90560,-0.02703,-0.27266,-0.29667,-1.62450,-0.08000,-0.63000,0.13000,4.69000,0.30000,-0.10000,-0.09000,2.02000,-0.37195,1.34266,1.08296,15.38986,-0.05551,-1.12102,-0.77072,5.03182
0.41923,-0.05973,-0.00011,0.00085,0.00016,-0.06982,0.02283,-0.13265,-0.08412,0.31340,-0.07281,0.00915,-0.99730,0.00000,0.00000,0.00000,-0.02694,0.34226,0.34274,-1.81060,-0.02663,-0.27146,-0.30007,-1.58390,0.22000,-0.74000,0.40000,5.27000,-0.24000,0.12000,-0.17000,2.06000,-0.19065,1.27275,1.18471,14.25090,-0.16435,-1.02675,-1.03374,4.28725
0.43918,-0.06285,-0.00018,0.00105,0.00017,-0.06991,0.02101,-0.10175,0.12947,0.26760,-0.07206,0.01127,-0.99734,0.00000,0.00000,0.00000,-0.02414,0.32746,0.35854,-1.69900,-0.02853,-0.26676,-0.30967,-1.53840,-0.04000,-0.77000,0.74000,5.65000,0.00000,0.20000,-0.76000,2.22000,0.01923,1.18953,1.58688,12.64069,-0.23384,-0.74611,-1.65316,3.94475
0.45915,-0.05929,-0.00031,0.00103,0.00026,-0.06929,0.01884,-0.06713,-0.07640,0.18238,-0.07050,0.01325,-0.99742,0.00000,0.00000,0.00000,-0.02474,0.31246,0.37354,-1.58750,-0.02903,-0.26436,-0.32287,-1.48860,-0.02000,-0.77000,0.60000,5.32000,-0.04000,0.00000,-0.37000,2.69000,0.13896,1.23968,1.59752,11.58092,-0.30036,-0.71785,-1.91337,4.46445
0.47923,-0.04302,-0.00035,0.00089,0.00036,-0.07331,0.01802,-0.11560,-0.28759,0.07958,-0.07373,0.01587,-0.99715,0.00000,0.00000,0.00000,-0.02514,0.30066,0.38214,-1.48480,-0.02903,-0.26476,-0.33237,-1.43610,-0.02000,-0.43000,0.24000,4.99000,0.00000,-0.04000,-0.20000,2.58000,0.11988,1.25811,1.44946,11.07808,-0.29015,-0.77097,-1.96633,5.22722
0.49919,-0.03287,-0.00036,0.00081,0.00041,-0.08337,0.02031,-0.04183,-0.50517,-0.11803,-0.08375,0.01818,-0.99632,0.00000,0.00000,0.00000,-0.02524,0.29216,0.37954,-1.38870,-0.02853,-0.26606,-0.33827,-1.38330,-0.04000,-0.39000,-0.17000,4.56000,0.04000,-0.08000,-0.20000,2.54000,0.10191,1.24483,1.26632,10.80437,-0.30567,-0.85732,-2.01062,6.07408
0.51923,-0.03263,-0.00030,0.00077,0.00043,-0.09269,0.02447,-0.01334,-0.52461,-0.13667,-0.09393,0.01839,-0.99541,0.00000,0.00000,0.00000,-0.02674,0.28386,0.37874,-1.30270,-0.02793,-0.26646,-0.34337,-1.33050,-0.05000,-0.26000,-0.06000,4.52000,0.05000,-0.08000,-0.26000,2.68000,0.09847,1.05783,1.19555,10.45027,-0.20917,-1.03966,-2.01905,6.83280
0.53919,-0.02854,-0.00034,0.00077,0.00046,-0.10064,0.02936,0.03087,-0.58453,-0.11856,-0.10320,0.01725,-0.99451,0.00000,0.00000,0.00000,-0.03074,0.28236,0.37924,-1.20930,-0.02713,-0.26656,-0.34767,-1.27050,-0.27000,-0.13000,0.04000,4.47000,0.01000,0.06000,-0.24000,2.88000,0.04783,1.14671,1.08332,9.90913,-0.12650,-1.03279,-1.89145,7.04620
0.55918,-0.01727,-0.00034,0.00071,0.00052,-0.11246,0.03847,0.17442,-0.71822,-0.17742,-0.11775,0.01379,-0.99295,0.00000,0.00000,0.00000,-0.03784,0.28186,0.37814,-1.12460,-0.02713,-0.26666,-0.34987,-1.21040,-0.46000,0.03000,-0.09000,4.06000,0.01000,0.00000,-0.08000,2.79000,0.04012,1.16073,0.98121,9.25516,-0.12710,-1.03690,-1.77370,6.65770
0.57923,-0.01585,-0.00039,0.00071,0.00051,-0.12441,0.04965,0.27109,-0.80743,-0.22988,-0.13323,0.00849,-0.99105,0.00000,0.00000,0.00000,-0.04554,0.28076,0.37644,-1.04470,-0.02723,-0.26666,-0.34967,-1.15590,-0.22000,-0.17000,-0.08000,4.19000,0.01000,0.00000,0.01000,2.68000,0.07686,0.95925,1.02998,8.02413,-0.12254,-1.08468,-1.69876,5.55374
0.59913,-0.01515,-0.00043,0.00073,0.00052,-0.13560,0.06079,0.30278,-0.57467,-0.19686,-0.14796,0.00289,-0.98899,0.00000,0.00000,0.00000,-0.05154,0.27726,0.37324,-0.95920,-0.02693,-0.26666,-0.34597,-1.10350,-0.34000,-0.09000,-0.22000,3.99000,0.01000,0.05000,0.25000,2.27000,0.04497,0.78864,1.16565,6.04466,-0.05661,-1.10949,-1.51945,3.91919
0.61956,-0.01321,-0.00051,0.00078,0.00055,-0.14364,0.07132,0.30065,-0.52700,-0.10258,-0.15954,-0.00341,-0.98719,0.00000,0.00000,0.00000,-0.05954,0.27346,0.36654,-0.88260,-0.02723,-0.26306,-0.34207,-1.05600,-0.37000,-0.23000,-0.24000,3.47000,-0.02000,0.11000,0.15000,2.36000,0.08800,0.86052,1.24810,4.20758,-0.15932,-1.02490,-1.42640,2.41080
0.63952,-0.00872,-0.00056,0.00082,0.00063,-0.14792,0.07845,0.10810,-0.24045,-0.11723,-0.16631,-0.00830,-0.98604,0.00000,0.00000,0.00000,-0.06304,0.26986,0.36474,-0.81820,-0.02813,-0.26106,-0.34007,-1.00720,0.00000,-0.15000,0.00000,3.14000,-0.08000,0.11000,0.07000,2.39000,0.12801,0.92167,1.28035,2.67960,-0.27091,-0.90243,-1.33665,0.89474
0.65950,0.02602,-0.00054,0.00069,0.00067,-0.14972,0.07817,-0.13211,0.07114,-0.15877,-0.16778,-0.00773,-0.98579,0.00000,0.00000,0.00000,-0.05964,0.27126,0.36854,-0.76470,-0.03163,-0.25446,-0.33907,-0.96900,0.20000,0.10000,0.26000,2.41000,-0.25000,0.42000,0.03000,1.66000,0.22942,1.03855,1.63252,2.58073,-0.47394,-0.85699,-1.36871,0.61701
0.67948,0.02973,-0.00057,0.00070,0.00063,-0.14934,0.07511,-0.04263,0.08952,-0.29752,-0.16616,-0.00578,-0.98608,0.00000,0.00000,0.00000,-0.05704,0.26836,0.37534,-0.72260,-0.03543,-0.25266,-0.34007,-0.93370,0.12000,-0.05000,0.37000,1.83000,0.11000,0.00000,-0.17000,1.64000,0.25812,0.94928,1.94412,3.30856,-0.58247,-0.85331,-1.74559,1.31548
0.69950,0.02257,-0.00059,0.00071,0.00061,-0.14773,0.07396,0.02049,0.09644,-0.22482,-0.16423,-0.00613,-0.98640,0.00000,0.00000,0.00000,-0.05774,0.26876,0.38184,-0.68610,-0.03503,-0.25426,-0.34607,-0.90620,0.01000,0.01000,0.42000,1.84000,-0.05000,-0.15000,-0.21000,1.34000,0.20940,0.86331,1.80856,3.92841,-0.44129,-0.98662,-1.81518,2.33458
0.71920,0.02201,-0.00064,0.00065,0.00061,-0.14551,0.07476,0.13500,0.03918,-0.18780,-0.16252,-0.00850,-0.98667,0.00000,0.00000,0.00000,-0.05764,0.27086,0.38284,-0.65050,-0.03663,-0.25536,-0.35157,-0.87870,-0.01000,0.07000,0.00000,1.62000,-0.05000,0.04000,-0.20000,1.34000,0.20667,1.04117,1.67279,4.81916,-0.41133,-0.98171,-1.71452,3.31655
0.73919,0.01013,-0.00061,0.00062,0.00058,-0.14643,0.07736,0.04738,-0.07906,-0.27808,-0.16434,-0.01123,-0.98634,0.00000,0.00000,0.00000,-0.05804,0.27126,0.38014,-0.61610,-0.03793,-0.25576,-0.35347,-0.85060,-0.02000,0.10000,-0.18000,1.77000,-0.07000,-0.01000,-0.04000,1.40000,0.17793,1.11260,1.51924,6.08479,-0.34729,-1.04926,-1.60872,4.13398
0.75953,-0.00411,-0.00057,0.00063,0.00050,-0.14668,0.07879,0.06496,-0.00556,-0.30578,-0.16507,-0.01328,-0.98619,0.00000,0.00000,0.00000,-0.05914,0.27096,0.37934,-0.57540,-0.03833,-0.25706,-0.35337,-0.81950,-0.05000,-0.01000,0.02000,2.28000,-0.02000,-0.05000,-0.04000,1.64000,0.12994,1.05558,1.38159,7.07460,-0.29687,-1.18795,-1.49186,4.68002
0.77924,-0.02771,-0.00055,0.00075,0.00045,-0.14615,0.07946,0.01436,-0.00502,-0.28714,-0.16477,-0.01504,-0.98622,0.00000,0.00000,0.00000,-0.05954,0.27136,0.37814,-0.52750,-0.03843,-0.25696,-0.35267,-0.78130,0.03000,0.04000,-0.06000,2.52000,0.02000,-0.02000,0.02000,1.79000,0.13522,1.16714,1.14180,7.84472,-0.27384,-1.26137,-1.35547,5.20336
0.79945,-0.03363,-0.00050,0.00081,0.00048,-0.14811,0.08021,-0.01467,-0.19011,-0.31856,-0.16675,-0.01592,-0.98587,0.00000,0.00000,0.00000,-0.05934,0.27126,0.37684,-0.47950,-0.03833,-0.25706,-0.35347,-0.74180,0.04000,0.04000,-0.13000,2.34000,0.03000,-0.01000,0.06000,1.84000,0.12984,1.25240,0.92883,8.47839,-0.28075,-1.27867,-1.25186,5.47648
0.81943,-0.03824,-0.00039,0.00085,0.00047,-0.15251,0.08250,0.03593,-0.23352,-0.31643,-0.17150,-0.01734,-0.98503,0.00000,0.00000,0.00000,-0.05934,0.27126,0.37404,-0.42580,-0.03843,-0.25736,-0.35417,-0.69890,-0.02000,0.00000,-0.21000,2.78000,0.02000,0.00000,-0.01000,2.21000,0.14177,1.11409,0.85586,8.51212,-0.29589,-1.30102,-1.34883,5.23751
0.83947,-0.04562,-0.00032,0.00089,0.00042,-0.15672,0.08530,0.03913,-0.21914,-0.32602,-0.17625,-0.01939,-0.98415,0.00000,0.00000,0.00000,-0.05934,0.26896,0.37234,-0.36550,-0.03853,-0.25706,-0.35807,-0.65060,0.00000,-0.09000,-0.06000,3.05000,0.00000,0.00000,-0.29000,2.35000,0.16969,0.91792,1.10130,7.66254,-0.28304,-1.22328,-1.48956,4.33475
0.85947,-0.03246,-0.00031,0.00092,0.00045,-0.15899,0.08706,-0.00295,-0.10250,-0.31297,-0.17884,-0.02125,-0.98365,0.00000,0.00000,0.00000,-0.05954,0.26646,0.37494,-0.30260,-0.03873,-0.25676,-0.36197,-0.60280,0.00000,-0.31000,0.20000,3.05000,0.00000,0.02000,-0.11000,2.28000,0.12706,0.71504,1.47166,6.08783,-0.24764,-1.15531,-1.51761,3.01876
0.87944,-0.02075,-0.00036,0.00095,0.00042,-0.15859,0.08638,-0.01866,0.19844,-0.31217,-0.17808,-0.02203,-0.98377,0.00000,0.00000,0.00000,-0.05934,0.25756,0.38164,-0.24200,-0.03863,-0.25616,-0.36257,-0.56280,0.01000,-0.44000,0.48000,2.91000,0.01000,0.12000,0.03000,1.93000,0.12771,0.77323,1.68799,5.20145,-0.29751,-1.10146,-1.54127,2.56949
0.89941,0.03677,-0.00056,0.00079,0.00074,-0.15578,0.08524,-0.07113,0.14651,-0.21310,-0.17502,-0.02269,-0.98430,0.00000,0.00000,0.00000,-0.05904,0.25596,0.38544,-0.17690,-0.03873,-0.25216,-0.36527,-0.52580,0.06000,0.12000,-0.06000,2.93000,0.02000,0.08000,-0.22000,1.43000,0.16451,0.94103,1.70252,4.95753,-0.38946,-1.05824,-1.61695,3.02658
0.91941,0.04235,-0.00063,0.00080,0.00076,-0.15533,0.08382,-0.04743,-0.04710,-0.16996,-0.17402,-0.02220,-0.98449,0.00000,0.00000,0.00000,-0.05674,0.25456,0.38934,-0.12190,-0.03853,-0.25146,-0.37447,-0.49450,0.14000,-0.04000,0.31000,2.53000,0.00000,-0.06000,-0.55000,1.51000,0.23877,0.93847,1.92668,5.24527,-0.45102,-0.94498,-1.80993,3.78241
0.93947,0.04145,-0.00063,0.00076,0.00079,-0.15701,0.08378,-0.05834,-0.05669,-0.19872,-0.17546,-0.02224,-0.98424,0.00000,0.00000,0.00000,-0.05604,0.25676,0.39394,-0.07480,-0.03783,-0.25256,-0.37827,-0.46260,0.00000,0.07000,0.34000,2.46000,0.03000,-0.06000,-0.19000,1.67000,0.13264,0.97808,1.78430,5.56688,-0.32909,-0.99318,-1.67836,4.06239
0.95943,0.04081,-0.00063,0.00066,0.00080,-0.15893,0.08302,-0.06367,-0.07826,-0.22961,-0.17688,-0.02160,-0.98400,0.00000,0.00000,0.00000,-0.05494,0.25736,0.39524,-0.02610,-0.03753,-0.25556,-0.37607,-0.43020,0.07000,0.00000,0.00000,2.25000,0.00000,-0.17000,0.15000,1.64000,0.12297,0.99111,1.67690,5.77259,-0.32935,-1.05588,-1.56797,3.98072
0.97957,0.03249,-0.00058,0.00063,0.00072,-0.16173,0.08314,-0.05435,-0.17760,-0.19313,-0.17941,-0.02140,-0.98354,0.00000,0.00000,0.00000,-0.05464,0.25756,0.39264,0.02000,-0.03723,-0.25586,-0.37527,-0.39580,0.00000,0.01000,-0.07000,2.27000,0.02000,0.00000,0.00000,1.56000,0.09861,1.03029,1.54274,5.93643,-0.32840,-1.06968,-1.55027,4.00776
0.99950,0.00725,-0.00052,0.00068,0.00056,-0.16495,0.08335,-0.07406,-0.10276,-0.18727,-0.18237,-0.02114,-0.98300,0.00000,0.00000,0.00000,-0.05454,0.25756,0.39124,0.06930,-0.03643,-0.25606,-0.37517,-0.36010,0.03000,0.00000,-0.05000,2.57000,0.05000,0.02000,0.00000,1.89000,0.08709,1.06249,1.40976,6.00491,-0.31911,-1.05361,-1.50507,3.90057
1.01945,-0.02148,-0.00047,0.00080,0.00046,-0.16673,0.08270,-0.07699,-0.07826,-0.18088,-0.18372,-0.02059,-0.98276,0.00000,0.00000,0.00000,-0.05444,0.25736,0.38784,0.11940,-0.03603,-0.25606,-0.37387,-0.32340,0.00000,-0.05000,-0.38000,2.44000,0.00000,0.00000,0.11000,1.85000,0.08615,1.15743,1.16371,5.96742,-0.32124,-1.08088,-1.39555,3.69080
1.03946,-0.02888,-0.00042,0.00090,0.00049,-0.16996,0.08288,-0.00082,-0.23246,-0.21497,-0.18668,-0.02042,-0.98221,0.00000,0.00000,0.00000,-0.05454,0.25686,0.37774,0.16730,-0.03613,-0.25606,-0.37247,-0.28620,-0.03000,-0.11000,-0.21000,2.08000,-0.06000,0.00000,0.17000,1.71000,0.10414,1.23733,0.84499,5.96844,-0.33942,-1.09228,-1.36890,3.56180
1.05953,-0.03076,-0.00034,0.00096,0.00050,-0.17620,0.08426,-0.03145,-0.24045,-0.32842,-0.19278,-0.02063,-0.98102,0.00000,0.00000,0.00000,-0.05434,0.25676,0.36934,0.21120,-0.03633,-0.25736,-0.36907,-0.24790,0.01000,0.00000,-0.25000,2.29000,0.03000,-0.06000,0.19000,1.88000,0.15790,1.07938,0.77737,5.66329,-0.34000,-1.11790,-1.48746,3.21970
1.07947,-0.01507,-0.00028,0.00097,0.00051,-0.17999,0.08541,-0.02559,-0.15043,-0.31936,-0.19656,-0.02138,-0.98026,0.00000,0.00000,0.00000,-0.05464,0.25476,0.36674,0.25810,-0.03703,-0.25726,-0.36657,-0.20920,-0.01000,-0.11000,0.00000,2.55000,-0.04000,0.01000,0.03000,1.93000,0.18627,0.83265,1.02180,4.79442,-0.33121,-1.16171,-1.57633,2.59094
1.09941,0.04562,-0.00053,0.00084,0.00072,-0.18194,0.08566,-0.02985,-0.04950,-0.25491,-0.19831,-0.02221,-0.97989,0.00000,0.00000,0.00000,-0.05574,0.25486,0.36954,0.30810,-0.03863,-0.25606,-0.36707,-0.17070,-0.05000,-0.04000,0.19000,2.58000,-0.08000,0.05000,-0.04000,1.79000,0.17654,0.76839,1.45122,4.21812,-0.35816,-1.06856,-1.68707,2.46354
1.11943,0.04781,-0.00073,0.00094,0.00077,-0.18247,0.08541,-0.04716,-0.03219,-0.24293,-0.19860,-0.02283,-0.97981,0.00000,0.00000,0.00000,-0.05604,0.25436,0.37504,0.35580,-0.03953,-0.25596,-0.36937,-0.13630,-0.01000,-0.03000,0.47000,2.22000,-0.05000,0.01000,-0.10000,1.69000,0.18244,0.68553,1.86480,4.11360,-0.42725,-0.95875,-1.95658,3.05095
1.13943,0.04426,-0.00080,0.00102,0.00079,-0.18422,0.08438,-0.14383,-0.09824,-0.26104,-0.19979,-0.02245,-0.97958,0.00000,0.00000,0.00000,-0.05584,0.25326,0.38414,0.40390,-0.03903,-0.25606,-0.37127,-0.10280,0.02000,-0.03000,0.12000,2.34000,0.03000,0.01000,0.00000,1.60000,0.10747,0.79017,1.77440,4.16980,-0.30220,-0.99079,-1.81244,3.32812
1.15943,0.04122,-0.00075,0.00095,0.00081,-0.18493,0.08293,-0.07459,0.00936,-0.24613,-0.19992,-0.02175,-0.97957,0.00000,0.00000,0.00000,-0.05564,0.25506,0.38554,0.44620,-0.03873,-0.25606,-0.37047,-0.07320,-0.02000,0.12000,-0.04000,2.02000,0.00000,0.01000,0.04000,1.37000,0.05992,0.84482,1.61640,4.00396,-0.32589,-1.01793,-1.69452,3.20973
1.17944,0.03829,-0.00071,0.00089,0.00084,-0.18636,0.08199,-0.08498,-0.15709,-0.21843,-0.20087,-0.02143,-0.97938,0.00000,0.00000,0.00000,-0.05554,0.25616,0.38104,0.48500,-0.03873,-0.25606,-0.36947,-0.04230,0.00000,-0.02000,-0.30000,1.77000,0.00000,0.00000,-0.04000,1.42000,0.10342,0.96076,1.44180,4.19368,-0.33962,-1.05299,-1.63486,3.21267
1.19923,0.02791,-0.00062,0.00086,0.00076,-0.18947,0.08227,-0.03784,-0.15363,-0.20431,-0.20376,-0.02156,-0.97878,0.00000,0.00000,0.00000,-0.05564,0.25636,0.37814,0.52370,-0.03893,-0.25606,-0.36937,-0.01420,-0.01000,0.01000,0.00000,1.93000,-0.01000,0.00000,0.00000,1.41000,0.07239,0.94520,1.36891,4.32774,-0.32557,-1.02307,-1.60026,3.03549
1.21922,0.00058,-0.00053,0.00087,0.00060,-0.19203,0.08196,-0.09430,-0.08998,-0.21337,-0.20597,-0.02140,-0.97832,0.00000,0.00000,0.00000,-0.05574,0.25646,0.37864,0.56520,-0.03883,-0.25616,-0.36907,0.01650,0.00000,0.01000,0.02000,2.04000,0.01000,0.00000,0.00000,1.47000,0.05609,0.97616,1.27764,4.24212,-0.28170,-1.03869,-1.50038,2.69735
1.23928,-0.03450,-0.00043,0.00094,0.00046,-0.19363,0.08102,-0.04423,-0.02953,-0.20032,-0.20710,-0.02102,-0.97809,0.00000,0.00000,0.00000,-0.05594,0.25706,0.37794,0.60600,-0.03893,-0.25606,-0.36747,0.04730,-0.03000,0.04000,-0.05000,2.09000,-0.02000,0.02000,0.15000,1.50000,0.03375,1.06871,1.06048,4.05461,-0.28439,-1.06722,-1.37058,2.35397
